,time,x,y,k,l,E,A
0,0.0,-95.0,-80.0,3.0,3.0,1.0,0.0336577478392318
1,0.1,-94.29970875793187,-79.29970875793187,3.0000473893787465,3.0000398504389683,1.0000145399711977,0.03365750315058459
2,0.2,-93.59942620018737,-78.59942795995558,3.0001011989131245,3.000085035505596,1.0000310390752378,0.03365768517762139
3,0.30000000000000004,-92.89915348498265,-77.89915901755468,3.000162234928622,3.000136215260627,1.0000497417107828,0.033657891890228775
4,0.4,-92.19889193492841,-77.19890354069636,3.000231381759906,3.0001941111018002,1.0000709155011724,0.03365812751117608
5,0.5,-91.4986430100363,-76.49866331471274,3.000309635247682,3.0002595346471677,1.000094861691215,0.03365839449496486
6,0.6000000000000001,-90.79840837272162,-75.79844037024984,3.000398085023593,3.000333370719441,1.0001219093588443,0.033658698073283436
7,0.7000000000000001,-90.09818985409393,-75.09823695433616,3.000497954266745,3.000416611621249,1.0001524277539013,0.03365904129923543
8,0.8,-89.39798953299649,-74.39805561547011,3.000610578234013,3.0005103364446017,1.0001868192716155,0.03365943061644762
9,0.9,-88.69780969424096,-73.69789916771389,3.0007374510662506,3.0006157514304106,1.0002255339804713,0.0336598698040263
10,1.0,-87.99765292402829,-72.99777079346232,3.0008802000162076,3.000734165025499,1.0002690611699914,0.03366036675044655
11,1.1,-87.29752205864777,-72.29767399928679,3.001040640073877,3.000867035012251,1.0003179463102865,0.0336609261113519
12,1.2000000000000002,-86.59742029878625,-71.59761273911312,3.0012207433588287,3.001015938721377,1.0003727809866982,0.03366155748394504
13,1.3,-85.89735114711866,-70.89759136047559,3.0014227022589157,3.0011826275705373,1.000434222513299,0.03366226657789042
14,1.4000000000000001,-85.19731854408671,-70.19761475092598,3.001648893519174,3.0013689918622197,1.0005029820813869,0.03366306499379134
15,1.5,-84.49732679280233,-69.49768827338212,3.001901950435543,3.0015771232662476,1.0005798472064749,0.03366395970444872
16,1.6,-83.79738071880588,-68.7978179385356,3.0021847213130926,3.0018092737063595,1.0006656679535022,0.03366496463731033
17,1.7000000000000002,-83.09748558084527,-68.09801032815204,3.0025003509969865,3.0020679261396506,1.0007613823233457,0.03366608827497603
18,1.8,-82.39764725682777,-67.39827279595869,3.002852233621349,3.002355747186011,1.0008680004841826,0.033667347219313026
19,1.9000000000000001,-81.69787213941153,-66.69861337815954,3.0032441033555815,3.0026756662716036,1.000986633088628,0.03366875175459938
20,2.0,-80.99816734973204,-65.99904102465126,3.0036799817639475,3.0030308219116972,1.0011184735499628,0.03367032152058187
21,2.1,-80.29854061747133,-65.29956549677614,3.0041642770492047,3.0034246488631338,1.0012648291113757,0.03367206895047395
22,2.2,-79.5990005228189,-64.60019762957985,3.0047017269456204,3.003860818369856,1.0014271013727907,0.03367401708814032
23,2.3000000000000003,-78.8995563619321,-63.90094921810402,3.005297504895003,3.004343332372674,1.0016068196932355,0.03367618093202204
24,2.4000000000000004,-78.20021841577937,-63.20183330955355,3.0059571602690025,3.004876458611544,1.001805620417165,0.03367858727958534
25,2.5,-77.50099780389931,-62.50286408145372,3.0066867287443757,3.0054648301257476,1.002025281860563,0.03368125419831845
26,2.6,-76.80190677600174,-61.80405715976288,3.0074926728739775,3.0061133769278765,1.0022677030266445,0.03368421254413611
27,2.7,-76.10295855997195,-61.10542949528409,3.008381992355871,3.006827427945129,1.0025349389840632,0.03368748406998206
28,2.8000000000000003,-75.40416766802424,-60.40699969958478,3.009362169639053,3.0076126420914484,1.0028291803252498,0.03369110391188496
29,2.9000000000000004,-74.70554974937113,-59.70878793054911,3.010441273711846,3.0084751084010875,1.0031527871672141,0.033695098271054
30,3.0,-74.0071218968882,-59.01081623199537,3.0116279176410226,3.00942128078208,1.0035082712178225,0.03369950665018468
31,3.1,-73.30890252127391,-58.313108445678296,3.0129313468392493,3.010458070330508,1.0038983258918823,0.033704360653184384
32,3.2,-72.6109116360361,-57.615690532161736,3.014361418301866,3.0115927898981467,1.004325813637231,0.03370970403242801
33,3.3000000000000003,-71.913170778926,-56.91859053554822,3.0159286609535085,3.0128332304168017,1.0047937887392717,0.033715575000325106
34,3.4000000000000004,-71.21570324191319,-56.22183885177835,3.017644289965478,3.014187623685157,1.0053054935415116,0.03372202115005302
35,3.5,-70.51853407794218,-55.52546828462963,3.0195202226452658,3.015664691970177,1.0058643693954628,0.03372908883747126
36,3.6,-69.82169022761039,-54.82951421235615,3.021569145666229,3.0172736401077604,1.0064740666013579,0.033736828683943273
37,3.7,-69.12520066575865,-54.134014789945255,3.0238044650030336,3.0190241647209186,1.0071384376457044,0.03374529715236183
38,3.8000000000000003,-68.42909635686534,-53.439010944941955,3.0262404492122723,3.0209264897731996,1.0078615670816982,0.033754546537110304
39,3.9000000000000004,-67.73341061765953,-52.74454680258627,3.0288920861495496,3.022991318561078,1.0086477397048395,0.03376464592511479
40,4.0,-67.03817880775114,-52.05066941575197,3.031775331547936,3.025229930107099,1.0095014981546646,0.0337756472173855
41,4.1000000000000005,-66.34343901245414,-51.35742951749873,3.034906847059861,3.027654053697336,1.0104275784165901,0.03378763532574232
42,4.2,-65.64923136015734,-50.66488087646868,3.038304357069386,3.0302760473345565,1.0114309991769828,0.033800659717545964
43,4.3,-64.95559909454882,-49.973081440628306,3.0419862945623133,3.0331086681982913,1.0125169646468943,0.03381482250009559
44,4.4,-64.26258749758665,-49.28209230446249,3.0459722059845395,3.0361653677168277,1.01369098138654,0.03383017131541423
45,4.5,-63.570245308296585,-48.59197918602965,3.050282389647589,3.0394599285874917,1.0149587377130682,0.03384682375610503
