,time,x,y,k,l,E,A
24,2.4000000000000004,-78.20031184223554,-63.20173985450237,3.0053392554064238,3.004378483779469,1.0016196351396118,0.03368171379232489
25,2.5,-77.50110515386841,-62.50275669429312,3.0059989189881615,3.0049116152417623,1.0018184376823478,0.033684730906765166
26,2.6,-76.80202974182188,-61.80393414571562,3.0067284965082965,3.005499992215301,1.0020381010177186,0.03368807121534814
27,2.7,-76.10309900828813,-61.1052889848259,3.0075344505973356,3.006148544725886,1.0022805241393566,0.03369175906530341
28,2.8000000000000003,-75.40432765472967,-60.406839633005944,3.0084237810236116,3.006862601554803,1.0025477620732288,0.03369583182121261
29,2.9000000000000004,-74.70573153643824,-59.70860604140498,3.009403970325509,3.0076478216170517,1.002842005390289,0.033700318493925546
30,3.0,-74.00732796888867,-59.01061002981508,3.0104830875691873,3.008510293699243,1.0031656141350445,0.03370526106297946
31,3.1,-73.30913560489255,-58.312875196911364,3.011669745923861,3.009456471691024,1.0035210999758903,0.03371069413290475
32,3.2,-72.61117471801248,-57.61542724105521,3.0129731908883834,3.010493266287851,1.0039111562109415,0.03371666419585573
33,3.3000000000000003,-71.9134671285997,-56.91829392233963,3.014403279575089,3.011627990293739,1.0043386452221092,0.03372321261817669
34,3.4000000000000004,-71.21603643028249,-56.22150533185006,3.0159705410048487,3.012868434013961,1.0048066211138755,0.03373039001097441
35,3.5,-70.51890800363863,-55.52509394369727,3.0176861904822654,3.014222829156834,1.0053183261258274,0.03373824598441236
36,3.6,-69.82210913657352,-54.829094784121764,3.019562145424641,3.0156998970343603,1.0058772013367763,0.03374683447205754
37,3.7,-69.12566918110275,-54.133545628034284,3.0216110926570536,3.0173088423322496,1.006486896889543,0.033756215221669245
38,3.8000000000000003,-68.42961949841468,-53.4384869994169,3.023846438284286,3.0190593602476974,1.0071512648687797,0.033766444151309014
39,3.9000000000000004,-67.73399383625659,-52.74396258839605,3.026282451035696,3.0209616745122503,1.0078743895962665,0.033777593575803844
40,4.0,-67.03882800357411,-52.05001898863542,3.0289341189294086,3.023026486330128,1.008660555286459,0.03378971934928111
41,4.1000000000000005,-66.34416057443121,-51.356706438730214,3.031817397895601,3.02526507438257,1.009514304246711,0.03380290947218387
42,4.2,-65.65003218036583,-50.664078185735534,3.0349489488197836,3.0276891649510196,1.0104403714751196,0.03381721754102595
43,4.3,-64.95648661733432,-49.97219162619162,3.038346498276872,3.030311115514656,1.011443775512656,0.033832748913773164
44,4.4,-64.26356972786324,-49.281107263864,3.042028477262096,3.0331436790750503,1.0125297190503468,0.033849555157298046
45,4.5,-63.571330861613454,-48.59089020729477,3.046014435101365,3.0362003061611387,1.0137037084043634,0.0338677572579217
46,4.6000000000000005,-62.87982148473893,-47.9016088442175,3.050324669120184,3.039494776614086,1.014971430583104,0.03388740927312056
47,4.7,-62.18909673027876,-47.21333644340933,3.0549805877582217,3.0430415970851032,1.0163388802244968,0.033908640197004195
48,4.800000000000001,-61.49921413868361,-46.52614994155682,3.060004445169267,3.046855586971942,1.017812246596691,0.03393151830732048
49,4.9,-60.810234705647,-45.84013105744364,3.065419515880772,3.050952228246579,1.0193980011928903,0.03395616387102097
50,5.0,-60.12222243977973,-45.15536587449426,3.0712500814312915,3.055347366550302,1.0211028460418523,0.03398267616875779
51,5.1000000000000005,-59.43524435222501,-44.4719449107055,3.077521314647592,3.0600573925666095,1.0229337248442745,0.034011156290038085
52,5.2,-58.74937111370018,-43.7899637774077,3.0842595297342603,3.0650991393403375,1.0248978480089612,0.03404173844084362
53,5.300000000000001,-58.064675924141866,-43.10952212974698,3.091491862831202,3.0704897911654885,1.0270026245184085,0.03407450477152716
54,5.4,-57.38123608595094,-42.43072524489306,3.09924658574611,3.0762471552916164,1.0292557599273706,0.03410961695928712
55,5.5,-56.699131342856504,-41.75368238382945,3.1075528769140326,3.0823891452988414,1.0316651327163682,0.034147158016367814
56,5.6000000000000005,-56.01844515343097,-41.07850812139706,3.116440897691578,3.088934308943842,1.034238895253276,0.034187278670096445
57,5.7,-55.339264072658466,-40.4053216849279,3.125941865358523,3.0959013064302727,1.0369853999470173,0.034230102123961874
58,5.800000000000001,-54.6616774421855,-39.73424671781223,3.136087864345226,3.10330914402721,1.0399132071189727,0.034275742666508034
59,5.9,-53.98577832923162,-39.065412173500896,3.1469119823669875,3.1111773030100878,1.0430311298537542,0.034324366104490994
60,6.0,-53.31166223167246,-38.39895098422343,3.1584483012058358,3.1195251154607924,1.0463481297367114,0.034376078965793644
61,6.1000000000000005,-52.639427877040895,-37.73500091989972,3.1707317594342657,3.1283724254706278,1.0498734043774693,0.03443103672893237
62,6.2,-51.96917669969334,-37.073703951111845,3.183798212611277,3.137739193650896,1.0536163328216817,0.034489373665629194
63,6.300000000000001,-51.3010125864036,-36.41520596032973,3.197684504644006,3.147645189648297,1.0575864376967883,0.03455121967470429
64,6.4,-50.63504253974093,-35.75965741863237,3.2124282801471695,3.1581106654546667,1.0617934663354507,0.03461674882319389
65,6.5,-49.97137541744435,-35.10721196788431,3.228068039695783,3.1691557576399787,1.06624730225494,0.03468607697036146
66,6.6000000000000005,-49.31012212287647,-34.458026554203975,3.2446431841804846,3.1808004043070137,1.0709579602844836,0.03475934035511054
